model,fold_index,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro
Multinomial logistic regression,0,0.9227272727272727,0.9226726726726726,0.9244773338501345,0.9226726726726726,0.9229736338980037
Multinomial logistic regression,1,0.9045454545454545,0.9044044044044043,0.9050702721935598,0.9044044044044043,0.9045451094033982
Multinomial logistic regression,2,0.8681818181818182,0.8685337392186706,0.8692474429316533,0.8685337392186706,0.8687021457604689
Multinomial logistic regression,3,0.8681818181818182,0.8681267182675633,0.8691783380018675,0.8681267182675633,0.8684011201634719
Multinomial logistic regression,4,0.8909090909090909,0.890909783022459,0.892200152788388,0.890909783022459,0.8912973462289772
Multinomial logistic regression,5,0.8772727272727273,0.876876876876877,0.8809210526315789,0.876876876876877,0.8773788303200067
Multinomial logistic regression,6,0.8681818181818182,0.8684934934934935,0.8732548632429847,0.8684934934934935,0.8689993658146524
Multinomial logistic regression,7,0.8954545454545455,0.8956925418569254,0.8966707308812571,0.8956925418569254,0.8956458793679376
Multinomial logistic regression,8,0.8681818181818182,0.8674457556147698,0.8706407720433975,0.8674457556147698,0.8678300617623678
Multinomial logistic regression,9,0.8863636363636364,0.8866556697542615,0.8890101558223428,0.8866556697542615,0.8873289285900374
Multinomial logistic regression,10,0.8909090909090909,0.8905155155155154,0.8948709367384066,0.8905155155155154,0.8908805510107163
Multinomial logistic regression,11,0.8636363636363636,0.8634884884884885,0.8677969875236554,0.8634884884884885,0.8641040458503686
Multinomial logistic regression,12,0.8863636363636364,0.886740233384069,0.8902116131670414,0.886740233384069,0.8869017576271241
Multinomial logistic regression,13,0.8863636363636364,0.8863452184578945,0.8864000987288659,0.8863452184578945,0.8862612612612613
Multinomial logistic regression,14,0.9090909090909091,0.9090580721566637,0.9113490025071359,0.9090580721566637,0.909608625086062
Multinomial logistic regression,15,0.8818181818181818,0.8821321321321322,0.8845989273817683,0.8821321321321322,0.882249327228882
Multinomial logistic regression,16,0.8954545454545455,0.8955205205205204,0.898845292800754,0.8955205205205204,0.8959066937790342
Multinomial logistic regression,17,0.9136363636363637,0.9133485540334855,0.9144415909121791,0.9133485540334855,0.9133385275480702
Multinomial logistic regression,18,0.9,0.8996785517912279,0.9014161220043574,0.8996785517912279,0.9000371951665359
Multinomial logistic regression,19,0.8681818181818182,0.8677460559150699,0.8704245861041752,0.8677460559150699,0.8678598881100369
Multinomial logistic regression,20,0.8636363636363636,0.8638638638638638,0.8636307540417129,0.8638638638638638,0.8636660143509459
Multinomial logistic regression,21,0.8681818181818182,0.8678678678678678,0.871128871128871,0.8678678678678678,0.868420204569528
Multinomial logistic regression,22,0.8818181818181818,0.882232369355657,0.8831747631628514,0.882232369355657,0.8821899961113714
Multinomial logistic regression,23,0.9045454545454545,0.9046838387683458,0.9059778154477379,0.9046838387683458,0.9051398337112623
Multinomial logistic regression,24,0.8954545454545455,0.8949135050543501,0.8989049145299145,0.8949135050543501,0.8957764782326185
k-nearest neighbours,0,0.8545454545454545,0.8548548548548549,0.8605278990481774,0.8548548548548549,0.8552359764818052
k-nearest neighbours,1,0.8727272727272727,0.8729979979979979,0.8777542123247319,0.8729979979979979,0.8734598734598734
k-nearest neighbours,2,0.8636363636363636,0.8647767630644343,0.873442760942761,0.8647767630644343,0.8629244752346271
k-nearest neighbours,3,0.8681818181818182,0.8690682231527301,0.8712313003452244,0.8690682231527301,0.8681327050311771
k-nearest neighbours,4,0.8636363636363636,0.864313327411919,0.8658553986016836,0.864313327411919,0.863718924403856
k-nearest neighbours,5,0.8590909090909091,0.8593593593593593,0.8667826339059216,0.8593593593593593,0.8595975916101047
k-nearest neighbours,6,0.8772727272727273,0.8781281281281282,0.8880253703042897,0.8781281281281282,0.8772775649212431
k-nearest neighbours,7,0.9045454545454545,0.9048934550989345,0.9051556940181121,0.9048934550989345,0.9042431163557924
k-nearest neighbours,8,0.8318181818181818,0.8321507422915874,0.833379148149845,0.8321507422915874,0.8317727076116338
k-nearest neighbours,9,0.8636363636363636,0.8646939897644123,0.8697478991596639,0.8646939897644123,0.8639950689927973
k-nearest neighbours,10,0.8727272727272727,0.8729979979979979,0.8765304296705262,0.8729979979979979,0.8731946158416747
k-nearest neighbours,11,0.8272727272727273,0.8278278278278278,0.8371491337664501,0.8278278278278278,0.8282573319488824
k-nearest neighbours,12,0.8727272727272727,0.8732851344495179,0.8755121076111063,0.8732851344495179,0.8728401101447325
k-nearest neighbours,13,0.8681818181818182,0.8691984942689168,0.8746498599439776,0.8691984942689168,0.8686899046735485
k-nearest neighbours,14,0.8636363636363636,0.8647540498244725,0.8695474204510348,0.8647540498244725,0.8638617090671885
k-nearest neighbours,15,0.85,0.8506006006006007,0.8550760582010581,0.8506006006006007,0.8496510438142361
k-nearest neighbours,16,0.8681818181818182,0.8684934934934935,0.8717685249086214,0.8684934934934935,0.868564986212045
k-nearest neighbours,17,0.9318181818181818,0.9319888381532216,0.9359833751005745,0.9319888381532216,0.9320768080818863
k-nearest neighbours,18,0.8545454545454545,0.8554345895190966,0.8639781182753884,0.8554345895190966,0.8554449434083308
k-nearest neighbours,19,0.8454545454545455,0.8463452184578945,0.8509736871017358,0.8463452184578945,0.8454800547479345
k-nearest neighbours,20,0.8318181818181818,0.8320820820820821,0.8340451588212782,0.8320820820820821,0.8319202881304838
k-nearest neighbours,21,0.8636363636363636,0.8641141141141141,0.8705627705627705,0.8641141141141141,0.8644586894586895
k-nearest neighbours,22,0.8545454545454545,0.8556341958396753,0.8705815018315018,0.8556341958396753,0.8565539139773803
k-nearest neighbours,23,0.8636363636363636,0.8651947722370257,0.8713039867109634,0.8651947722370257,0.8635541672818858
