n_estimators,max_depth,f1_macro_mean,f1_macro_std
50,None,0.8821437985860904,0.01669406298873557
50,5,0.8857971530998535,0.005446133735215308
50,10,0.8765773252740796,0.02226519819109621
50,20,0.8821437985860904,0.01669406298873557
100,None,0.8857104128574376,0.016378864054832628
100,5,0.8815617398902591,0.011236400755630784
100,10,0.8818824265922401,0.017240925315775094
100,20,0.8857104128574376,0.016378864054832628
200,None,0.8757223581363796,0.017309131488953338
200,5,0.8780643830773565,0.009985255051507231
200,10,0.880282811304523,0.018342224067789507
200,20,0.8757223581363796,0.017309131488953338
500,None,0.8704856601771397,0.019100092923531955
500,5,0.8807209642070722,0.015664511376252445
500,10,0.8721687267641155,0.017852238264017252
500,20,0.8704856601771397,0.019100092923531955
800,None,0.8750294152165298,0.022175867824743713
800,5,0.8808700489875724,0.016373049964397215
800,10,0.8766228244317065,0.02026081411137311
800,20,0.8750294152165298,0.022175867824743713
